"Date","Remain","Leave","Undecided","Sample"
20160225,0.48,0.52,0,2014
20160223,0.37,0.38,0.25,3482
20160223,0.44,0.41,0.15,1517
20160222,0.42,0.4,0.17,2021
20160222,0.51,0.39,0.1,1000
20160220,0.48,0.33,0.19,1003
20160216,0.54,0.36,0.1,497
20160215,0.36,0.39,0.25,1079
20160214,0.43,0.39,0.18,2001
20160214,0.49,0.41,0.1,1105
20160207,0.41,0.42,0.17,2018
20160204,0.36,0.45,0.19,1675
20160131,0.42,0.39,0.19,2002
20160128,0.38,0.42,0.2,1735
20160125,0.55,0.36,0.09,513
20160125,0.44,0.42,0.14,1511
20160124,0.54,0.36,0.1,1006
20160124,0.41,0.41,0.18,2010
20160121,0.52,0.48,0,2015
20160117,0.42,0.4,0.17,2023
20160116,0.38,0.42,0.2,1017
20160114,0.42,0.45,0.12,2087
20160111,0.44,0.38,0.18,2055
20151218,0.41,0.42,0.17,1598
20151214,0.58,0.32,0.1,529
20151213,0.56,0.35,0.08,1001
20151213,0.42,0.41,0.17,2053
20151206,0.43,0.39,0.17,2022
20151203,0.36,0.43,0.21,1001
20151203,0.4,0.42,0.18,10015
20151124,0.41,0.41,0.18,4317
20151124,0.4,0.38,0.22,1699
20151122,0.45,0.38,0.17,2002
20151119,0.48,0.52,0,2067
20151117,0.43,0.4,0.18,1546
20151117,0.39,0.39,0.22,1528
20151115,0.43,0.38,0.19,2000
20151111,0.39,0.43,0.19,2007
20151108,0.46,0.38,0.16,2024
20151101,0.44,0.38,0.18,2060
20151029,0.39,0.41,0.19,1664
20151027,0.4,0.4,0.2,1738
20151025,0.45,0.38,0.17,2049
20151025,0.53,0.47,0,2015
20151023,0.42,0.39,0.16,1625
20151020,0.42,0.4,0.17,1690
20151019,0.52,0.36,0.12,498
20151019,0.42,0.39,0.19,2372
20151018,0.44,0.38,0.18,2023
20151007,0.44,0.39,0.17,1947
20150928,0.55,0.36,0.08,1009
20150927,0.45,0.38,0.17,2005
20150922,0.38,0.41,0.21,2781
20150917,0.38,0.4,0.22,11171
20150913,0.43,0.4,0.17,2006
20150904,0.4,0.43,0.17,1004
20150819,0.44,0.37,0.2,1676
20150817,0.5,0.4,0.1,3402
20150729,0.45,0.37,0.19,1708
20150706,0.45,0.37,0.18,5008
20150624,0.44,0.38,0.18,1653
20150621,0.55,0.45,0,2000
20150616,0.66,0.22,0.12,501
20150611,0.43,0.36,0.21,2381
20150602,0.44,0.34,0.21,1063
20150602,0.42,0.35,0.22,2956
20150531,0.58,0.31,0.11,500
20150531,0.47,0.33,0.2,680
20150522,0.44,0.36,0.2,1532
20150515,0.47,0.4,0.13,3977
20150513,0.55,0.36,0.09,999
20150509,0.45,0.36,0.19,1302
20150509,0.45,0.38,0.18,1027
20150505,0.56,0.34,0.1,1011
20150504,0.45,0.33,0.21,1664
20150429,0.52,0.32,0.16,1823
20150428,0.47,0.33,0.2,1834
20150420,0.45,0.35,0.2,2078
20150412,0.4,0.39,0.21,2036
20150409,0.45,0.41,0.15,1750
20150330,0.35,0.34,0.31,1197
20150326,0.49,0.44,0.07,1007
20150325,0.41,0.38,0.21,2006
20150323,0.46,0.36,0.18,1641
20150323,0.42,0.34,0.23,8271
20150224,0.45,0.37,0.18,1520
20150223,0.45,0.35,0.2,1772
20150220,0.41,0.44,0.15,1975
20150126,0.43,0.37,0.2,1656
20150119,0.43,0.38,0.18,1747
20150119,0.38,0.34,0.28,1188
20150108,0.37,0.4,0.23,1201
20141215,0.4,0.39,0.21,1648
20141201,0.42,0.39,0.2,1763
20141126,0.38,0.43,0.19,1641
20141123,0.32,0.48,0.2,2049
20141121,0.4,0.41,0.19,1970
20141121,0.4,0.41,0.19,2314
20141117,0.39,0.39,0.21,1589
20141107,0.31,0.54,0.15,1020
20141103,0.38,0.41,0.21,1652
20141102,0.35,0.49,0.17,2012
20141031,0.37,0.43,0.2,1808
20141028,0.35,0.44,0.21,2052
20141024,0.41,0.4,0.19,2069
20141020,0.4,0.39,0.21,1727
20141014,0.56,0.36,0.08,1002
20140922,0.42,0.38,0.19,1671
20140826,0.41,0.4,0.19,2021
20140811,0.4,0.38,0.22,1676
20140714,0.41,0.38,0.21,1745
20140630,0.4,0.39,0.21,1729
20140629,0.36,0.43,0.21,2049
20140628,0.39,0.47,0.14,1000
20140627,0.39,0.37,0.24,1936
20140620,0.39,0.39,0.21,2016
20140619,0.37,0.48,0.15,1946
20140616,0.44,0.36,0.2,1696
20140601,0.4,0.42,0.18,2062
20140530,0.41,0.39,0.2,2090
20140521,0.42,0.37,0.21,6124
20140519,0.43,0.37,0.2,1740
20140512,0.54,0.37,0.1,1003
20140506,0.39,0.38,0.23,1805
20140503,0.39,0.46,0.15,1005
20140428,0.41,0.49,0.1,1199
20140425,0.4,0.37,0.23,1835
20140422,0.4,0.38,0.23,2190
20140404,0.42,0.37,0.21,1998
20140328,0.42,0.36,0.21,1916
20140324,0.42,0.36,0.22,1558
20140310,0.41,0.39,0.2,3195
20140210,0.36,0.39,0.25,1685
20140120,0.41,0.41,0.18,20058
20140113,0.33,0.43,0.24,1762
20131209,0.37,0.43,0.2,0
20131111,0.39,0.39,0.22,0
20131014,0.42,0.37,0.2,0
20130927,0.36,0.44,0.2,1922
20130916,0.42,0.39,0.2,0
20130819,0.46,0.34,0.2,0
20130808,0.32,0.53,0.15,1945
20130805,0.43,0.35,0.22,0
20130724,0.35,0.45,0.21,1968
20130723,0.45,0.35,0.21,0
20130708,0.43,0.36,0.21,0
20130705,0.36,0.46,0.19,1022
20130624,0.45,0.31,0.24,0
20130610,0.43,0.35,0.22,0
20130603,0.44,0.45,0.11,1566
20130529,0.43,0.35,0.22,0
20130528,0.41,0.38,0.2,1512
20130518,0.36,0.5,0.14,1000
20130517,0.36,0.45,0.19,1809
20130516,0.24,0.46,0.3,2017
20130516,0.3,0.46,0.24,2017
20130513,0.34,0.44,0.22,1748
20130512,0.4,0.43,0.17,1001
20130510,0.3,0.47,0.23,1945
20130507,0.35,0.46,0.2,719
20130408,0.36,0.43,0.21,1765
20130327,0.46,0.46,0.08,1012
20130218,0.38,0.41,0.21,1713
20130205,0.3,0.41,0.22,1237
20130206,0.33,0.5,0.17,2114
20130125,0.36,0.5,0.16,1005
20130125,0.37,0.39,0.24,1943
20130123,0.37,0.4,0.23,2000
20130121,0.37,0.4,0.24,0
20130118,0.34,0.25,0.4,1912
20130111,0.36,0.42,0.21,1995
20130106,0.36,0.54,0.1,1002
20130103,0.31,0.46,0.22,0
20121115,0.3,0.56,0.14,1957
20121128,0.3,0.51,0.09,0
20111216,0.41,0.41,0.19,0
20111209,0.35,0.44,0.2,0
20110808,0.3,0.52,0.19,0
20100909,0.33,0.47,0.19,0
